CB1 Answer Sheet,
Name:,username
Date:,1/1/15
Essay:,12
Number:,Answer:
Section 1:,
Section 2:,
1,A
2,B
3,A
4,D
5,C
6,D
7,B
8,C
9,A
10,D
11,B
12,C
13,E
14,E
15,B
16,C
17,A
18,E
19,B
20,A
21,D
22,E
23,E
24,C
Section 3:,
1,A
2,E
3,B
4,D
5,C
6,C
7,D
8,D
9,D
10,C
11,B
12,D
13,E
14,E
15,B
16,A
17,C
18,D
19,A
20,A
Section 4:,
Section 5:,
1,C
2,B
3,C
4,A
5,D
6,B
7,D
8,C
9,A
10,B
11,E
12,C
13,D
14,D
15,E
16,E
17,B
18,E
19,A
20,D
21,A
22,C
23,E
24,E
Section 6:,
1,C
2,C
3,B
4,C
5,E
6,A
7,D
8,A
9,E
10,C
11,E
12,C
13,E
14,A
15,C
16,D
17,C
18,A
19,C
20,E
21,B
22,E
23,C
24,E
25,C
26,D
27,E
28,D
29,D
30,C
31,C
32,E
33,C
34,D
35,B
Section 7:,
1,E
2,B
3,E
4,D
5,A
6,C
7,E
8,C
9,9
10,0.2
11,15
12,0.78
13,6
14,117
15,2.5
16,5940
17,90
18,4.2
Section 8:,
1,D
2,E
3,A
4,C
5,B
6,E
7,A
8,B
9,B
10,B
11,A
12,B
13,D
14,B
15,E
16,B
Section 9:,
1,B
2,C
3,B
4,E
5,B
6,D
7,C
8,C
9,E
10,E
11,A
12,B
13,D
14,A
15,D
16,B
17,C
18,E
19,D
Section 10:,
1,D
2,C
3,B
4,E
5,C
6,E
7,D
8,E
9,E
10,A
11,D
12,D
13,C
14,E
